zip code,city,state,surcharge, local hub,sub-region, distance to hub
1001,Agawam,MA,0,Deliveright - MA,Western Mass,83.25
1002,Amherst,MA,0,Deliveright - MA,Western Mass,79.63
1003,Amherst,MA,0,Deliveright - MA,Western Mass,83.81
1004,Amherst,MA,0,Deliveright - MA,N/A,82.04
1005,Barre,MA,0,Deliveright - MA,Worcester,59.07
1007,Belchertown,MA,0,Deliveright - MA,Western Mass,72.92
1009,Bondsville,MA,0,Deliveright - MA,Western Mass,66.23
1010,Brimfield,MA,0,Deliveright - MA,Western Mass,55.14
1013,Chicopee,MA,0,Deliveright - MA,Western Mass,77.17
1014,Chicopee,MA,0,Deliveright - MA,N/A,75.83
1020,Chicopee,MA,0,Deliveright - MA,Western Mass,74.99
1021,Chicopee,MA,0,Deliveright - MA,N/A,75.83
1022,Chicopee,MA,0,Deliveright - MA,Western Mass,77.6
1028,East Longmeadow,MA,0,Deliveright - MA,Western Mass,75.33
1031,Gilbertville,MA,0,Deliveright - MA,Worcester,63.94
1033,Granby,MA,0,Deliveright - MA,Western Mass,77.93
1035,Hadley,MA,0,Deliveright - MA,Western Mass,85.68
1036,Hampden,MA,0,Deliveright - MA,Western Mass,71.94
1037,Hardwick,MA,0,Deliveright - MA,Worcester,64.87
1041,Holyoke,MA,0,Deliveright - MA,Western Mass,77.91
1054,Leverett,MA,0,Deliveright - MA,Western Mass,88.03
1056,Ludlow,MA,0,Deliveright - MA,Western Mass,70.87
1057,Monson,MA,0,Deliveright - MA,Western Mass,68.5
1059,North Amherst,MA,0,Deliveright - MA,N/A,84.3
1061,Northampton,MA,0,Deliveright - MA,N/A,92.59
1063,Northampton,MA,0,Deliveright - MA,Western Mass,91.37
1066,North Hatfield,MA,0,Deliveright - MA,Western Mass,105.39
1068,Oakham,MA,0,Deliveright - MA,Worcester,53.45
1069,Palmer,MA,0,Deliveright - MA,Western Mass,63.96
1072,Shutesbury,MA,0,Deliveright - MA,Western Mass,82.18
1074,South Barre,MA,0,Deliveright - MA,Worcester,57.14
1075,South Hadley,MA,0,Deliveright - MA,Western Mass,78.4
1079,Thorndike,MA,0,Deliveright - MA,Western Mass,64.35
1080,Three Rivers,MA,0,Deliveright - MA,Western Mass,65.21
1081,Wales,MA,0,Deliveright - MA,Western Mass,58.08
1082,Ware,MA,0,Deliveright - MA,Western Mass,69.99
1083,Warren,MA,0,Deliveright - MA,Worcester,58.31
1086,Westfield,MA,0,Deliveright - MA,N/A,85.45
1090,West Springfield,MA,0,Deliveright - MA,N/A,79.35
1092,West Warren,MA,0,Deliveright - MA,Worcester,67.59
1093,Whately,MA,0,Deliveright - MA,Western Mass,99.67
1094,Wheelwright,MA,0,Deliveright - MA,Worcester,60.68
1095,Wilbraham,MA,0,Deliveright - MA,Western Mass,69.2
1097,Woronoco,MA,0,Deliveright - MA,Western Mass,138.08
1101,Springfield,MA,0,Deliveright - MA,Western Mass,77.71
1102,Springfield,MA,0,Deliveright - MA,N/A,77.79
1103,Springfield,MA,0,Deliveright - MA,Western Mass,77.82
1104,Springfield,MA,0,Deliveright - MA,Western Mass,75.93
1105,Springfield,MA,0,Deliveright - MA,Western Mass,79.5
1106,Longmeadow,MA,0,Deliveright - MA,Western Mass,82.96
1107,Springfield,MA,0,Deliveright - MA,Western Mass,78.96
1108,Springfield,MA,0,Deliveright - MA,Western Mass,80.53
1109,Springfield,MA,0,Deliveright - MA,Western Mass,75.52
1111,Springfield,MA,0,Deliveright - MA,Western Mass,75.96
1115,Springfield,MA,0,Deliveright - MA,N/A,78.01
1116,Longmeadow,MA,0,Deliveright - MA,N/A,84.33
1118,Springfield,MA,0,Deliveright - MA,Western Mass,78.76
1119,Springfield,MA,0,Deliveright - MA,Western Mass,73.06
1128,Springfield,MA,0,Deliveright - MA,Western Mass,74.83
1129,Springfield,MA,0,Deliveright - MA,Western Mass,72.17
1138,Springfield,MA,0,Deliveright - MA,N/A,80.4
1139,Springfield,MA,0,Deliveright - MA,N/A,77.79
1144,Springfield,MA,0,Deliveright - MA,Western Mass,78.26
1151,Indian Orchard,MA,0,Deliveright - MA,Western Mass,71.18
1152,Springfield,MA,0,Deliveright - MA,N/A,72.14
1199,Springfield,MA,0,Deliveright - MA,Western Mass,78.33
1202,Pittsfield,MA,0,Deliveright - MA,N/A,124.73
1203,Pittsfield,MA,0,Deliveright - MA,N/A,124.69
1224,Berkshire,MA,0,Deliveright - MA,N/A,130.78
1227,Dalton,MA,0,Deliveright - MA,N/A,129.81
1229,Glendale,MA,0,Deliveright - MA,N/A,119.82
1242,Lenox Dale,MA,0,Deliveright - MA,N/A,115.85
1244,Mill River,MA,0,Deliveright - MA,N/A,130.89
1252,North Egremont,MA,0,Deliveright - MA,N/A,128.47
1260,South Lee,MA,0,Deliveright - MA,N/A,116.52
1263,Stockbridge,MA,0,Deliveright - MA,N/A,119.6
1264,Tyringham,MA,0,Deliveright - MA,N/A,118.07
1302,Greenfield,MA,0,Deliveright - MA,N/A,91.42
1331,Athol,MA,0,Deliveright - MA,Worcester,67.63
1344,Erving,MA,0,Deliveright - MA,Western Mass,81.78
1347,Lake Pleasant,MA,0,Deliveright - MA,Western Mass,86.7
1349,Millers Falls,MA,0,Deliveright - MA,Western Mass,84.26
1351,Montague,MA,0,Deliveright - MA,Western Mass,87.62
1354,Gill,MA,0,Deliveright - MA,Western Mass,88.67
1355,New Salem,MA,0,Deliveright - MA,Western Mass,81.82
1360,Northfield,MA,0,Deliveright - MA,Western Mass,86.04
1364,Orange,MA,0,Deliveright - MA,Western Mass,73.34
1366,Petersham,MA,0,Deliveright - MA,Worcester,73.55
1368,Royalston,MA,0,Deliveright - MA,Worcester,69.8
1375,Sunderland,MA,0,Deliveright - MA,Western Mass,105.49
1376,Turners Falls,MA,0,Deliveright - MA,Western Mass,88.04
1378,Warwick,MA,0,Deliveright - MA,Western Mass,81.69
1379,Wendell,MA,0,Deliveright - MA,Western Mass,82.02
1380,Wendell Depot,MA,0,Deliveright - MA,Western Mass,81.11
1420,Fitchburg,MA,0,Deliveright - MA,Worcester,47.91
1430,Ashburnham,MA,0,Deliveright - MA,Worcester,57.19
1431,Ashby,MA,0,Deliveright - MA,Central North,52.99
1432,Ayer,MA,0,Deliveright - MA,Central North,42.15
1434,Devens,MA,0,Deliveright - MA,Central North,45.95
1436,Baldwinville,MA,0,Deliveright - MA,Worcester,62.13
1438,East Templeton,MA,0,Deliveright - MA,Worcester,58.14
1440,Gardner,MA,0,Deliveright - MA,Worcester,56.68
1441,Westminster,MA,0,Deliveright - MA,Worcester,52.04
1450,Groton,MA,0,Deliveright - MA,Central North,45.07
1451,Harvard,MA,0,Deliveright - MA,Worcester,36.81
1452,Hubbardston,MA,0,Deliveright - MA,Worcester,56.13
1453,Leominster,MA,0,Deliveright - MA,Worcester,40.22
1460,Littleton,MA,0,Deliveright - MA,Central North,38.94
1462,Lunenburg,MA,0,Deliveright - MA,Worcester,44.87
1463,Pepperell,MA,0,Deliveright - MA,Central North,51.03
1464,Shirley,MA,0,Deliveright - MA,Central North,46.71
1467,Still River,MA,0,Deliveright - MA,Worcester,35.17
1468,Templeton,MA,0,Deliveright - MA,Worcester,59.75
1469,Townsend,MA,0,Deliveright - MA,Central North,53.43
1470,Groton,MA,0,Deliveright - MA,N/A,46.12
1471,Groton,MA,0,Deliveright - MA,N/A,47.46
1472,West Groton,MA,0,Deliveright - MA,N/A,48.46
1473,Westminster,MA,0,Deliveright - MA,Worcester,49.44
1474,West Townsend,MA,0,Deliveright - MA,Central North,49.88
1475,Winchendon,MA,0,Deliveright - MA,Worcester,63.41
1477,Winchendon Springs,MA,0,Deliveright - MA,Worcester,63.99
1501,Auburn,MA,0,Deliveright - MA,Worcester,34.84
1503,Berlin,MA,0,Deliveright - MA,Worcester,27.71
1504,Blackstone,MA,0,Deliveright - MA,Worcester,14.64
1505,Boylston,MA,0,Deliveright - MA,Worcester,32.81
1506,Brookfield,MA,0,Deliveright - MA,Worcester,54.54
1507,Charlton,MA,0,Deliveright - MA,Worcester,41.69
1508,Charlton City,MA,0,Deliveright - MA,Worcester,42.11
1509,Charlton Depot,MA,0,Deliveright - MA,Worcester,43.06
1510,Clinton,MA,0,Deliveright - MA,Worcester,32.78
1515,East Brookfield,MA,0,Deliveright - MA,Worcester,47.78
1516,Douglas,MA,0,Deliveright - MA,Worcester,23.53
1517,East Princeton,MA,0,Deliveright - MA,Worcester,44.99
1518,Fiskdale,MA,0,Deliveright - MA,Worcester,49.72
1519,Grafton,MA,0,Deliveright - MA,Worcester,22.07
1520,Holden,MA,0,Deliveright - MA,Worcester,41.46
1521,Holland,MA,0,Deliveright - MA,Western Mass,56
1522,Jefferson,MA,0,Deliveright - MA,Worcester,43.24
1523,Lancaster,MA,0,Deliveright - MA,Worcester,35.34
1524,Leicester,MA,0,Deliveright - MA,Worcester,41.95
1525,Linwood,MA,0,Deliveright - MA,Worcester,17.26
1526,Manchaug,MA,0,Deliveright - MA,Worcester,24.44
1527,Millbury,MA,0,Deliveright - MA,Worcester,34.04
1529,Millville,MA,0,Deliveright - MA,Worcester,18.03
1531,New Braintree,MA,0,Deliveright - MA,Worcester,59.6
1532,Northborough,MA,0,Deliveright - MA,Worcester,24.63
1534,Northbridge,MA,0,Deliveright - MA,Worcester,20.72
1535,North Brookfield,MA,0,Deliveright - MA,Worcester,54.74
1536,North Grafton,MA,0,Deliveright - MA,Worcester,30.01
1537,North Oxford,MA,0,Deliveright - MA,Worcester,36.42
1538,North Uxbridge,MA,0,Deliveright - MA,Worcester,17.16
1540,Oxford,MA,0,Deliveright - MA,Worcester,39.61
1541,Princeton,MA,0,Deliveright - MA,Worcester,45.44
1542,Rochdale,MA,0,Deliveright - MA,Worcester,38.74
1543,Rutland,MA,0,Deliveright - MA,Worcester,49.21
1545,Shrewsbury,MA,0,Deliveright - MA,Worcester,27.72
1546,Shrewsbury,MA,0,Deliveright - MA,Worcester,34.64
1550,Southbridge,MA,0,Deliveright - MA,Worcester,50.86
1560,South Grafton,MA,0,Deliveright - MA,Worcester,21.66
1561,South Lancaster,MA,0,Deliveright - MA,Worcester,34.32
1562,Spencer,MA,0,Deliveright - MA,Worcester,42.34
1564,Sterling,MA,0,Deliveright - MA,Worcester,40.72
1566,Sturbridge,MA,0,Deliveright - MA,Worcester,47.49
1568,Upton,MA,0,Deliveright - MA,Worcester,17.96
1569,Uxbridge,MA,0,Deliveright - MA,Worcester,19.46
1570,Webster,MA,0,Deliveright - MA,Worcester,44.52
1571,Dudley,MA,0,Deliveright - MA,Worcester,46.04
1580,Westborough,MA,0,Deliveright - MA,Worcester,N/A
1581,Westborough,MA,0,Deliveright - MA,Worcester,17.16
1582,Westborough,MA,0,Deliveright - MA,Worcester,N/A
1583,West Boylston,MA,0,Deliveright - MA,Worcester,37.43
1585,West Brookfield,MA,0,Deliveright - MA,Worcester,57.17
1586,West Millbury,MA,0,Deliveright - MA,Worcester,34.92
1588,Whitinsville,MA,0,Deliveright - MA,Worcester,19.63
1590,Sutton,MA,0,Deliveright - MA,Worcester,26.59
1601,Worcester,MA,0,Deliveright - MA,Worcester,34.84
1602,Worcester,MA,0,Deliveright - MA,Worcester,37.6
1603,Worcester,MA,0,Deliveright - MA,Worcester,35.36
1604,Worcester,MA,0,Deliveright - MA,Worcester,30.19
1605,Worcester,MA,0,Deliveright - MA,Worcester,36.59
1606,Worcester,MA,0,Deliveright - MA,Worcester,38.34
1607,Worcester,MA,0,Deliveright - MA,Worcester,32.48
1608,Worcester,MA,0,Deliveright - MA,Worcester,34.77
1609,Worcester,MA,0,Deliveright - MA,Worcester,40.26
1610,Worcester,MA,0,Deliveright - MA,Worcester,34.87
1611,Cherry Valley,MA,0,Deliveright - MA,Worcester,38.79
1612,Paxton,MA,0,Deliveright - MA,Worcester,46.56
1613,Worcester,MA,0,Deliveright - MA,Worcester,38.13
1614,Worcester,MA,0,Deliveright - MA,Worcester,35.21
1615,Worcester,MA,0,Deliveright - MA,Worcester,34.84
1653,Worcester,MA,0,Deliveright - MA,Worcester,35.8
1654,Worcester,MA,0,Deliveright - MA,Worcester,34.84
1655,Worcester,MA,0,Deliveright - MA,Worcester,31.22
1701,Framingham,MA,0,Deliveright - MA,Central North,13.13
1702,Framingham,MA,0,Deliveright - MA,Central North,10.77
1703,Framingham,MA,0,Deliveright - MA,N/A,11.32
1704,Framingham,MA,0,Deliveright - MA,N/A,9.58
1705,Framingham,MA,0,Deliveright - MA,N/A,13.34
1718,Village Of Nagog Woods,MA,0,Deliveright - MA,Central North,42.29
1719,Boxborough,MA,0,Deliveright - MA,Central North,36.31
1720,Acton,MA,0,Deliveright - MA,Central North,41.15
1721,Ashland,MA,0,Deliveright - MA,Central North,9.96
1730,Bedford,MA,0,Deliveright - MA,Central North,32.02
1731,Hanscom Afb,MA,0,Deliveright - MA,Central North,30.16
1740,Bolton,MA,0,Deliveright - MA,Worcester,29.86
1741,Carlisle,MA,0,Deliveright - MA,Central North,36.99
1742,Concord,MA,0,Deliveright - MA,Central North,24.35
1745,Fayville,MA,0,Deliveright - MA,Worcester,12.96
1746,Holliston,MA,0,Deliveright - MA,Central North,5.82
1747,Hopedale,MA,0,Deliveright - MA,Worcester,12.24
1748,Hopkinton,MA,0,Deliveright - MA,Central North,13.62
1749,Hudson,MA,0,Deliveright - MA,Central North,26.15
1752,Marlborough,MA,0,Deliveright - MA,Central North,24.05
1754,Maynard,MA,0,Deliveright - MA,Central North,22.68
1756,Mendon,MA,0,Deliveright - MA,Worcester,13.81
1757,Milford,MA,0,Deliveright - MA,Worcester,9.16
1760,Natick,MA,0,Deliveright - MA,Central North,9.01
1770,Sherborn,MA,0,Deliveright - MA,Central North,6.18
1772,Southborough,MA,0,Deliveright - MA,Worcester,21.78
1773,Lincoln,MA,0,Deliveright - MA,Central North,28.47
1775,Stow,MA,0,Deliveright - MA,Central North,30.21
1776,Sudbury,MA,0,Deliveright - MA,Central North,18.8
1778,Wayland,MA,0,Deliveright - MA,Central North,15.97
1784,Woodville,MA,0,Deliveright - MA,N/A,13.93
1801,Woburn,MA,0,Deliveright - MA,Central North,36.04
1803,Burlington,MA,0,Deliveright - MA,Central North,34.61
1805,Burlington,MA,0,Deliveright - MA,N/A,33.49
1807,Woburn,MA,0,Deliveright - MA,N/A,N/A
1810,Andover,MA,0,Deliveright - MA,North Shore,48.92
1812,Andover,MA,0,Deliveright - MA,N/A,47.55
1813,Woburn,MA,0,Deliveright - MA,N/A,37.08
1815,Woburn,MA,0,Deliveright - MA,N/A,37.08
1821,Billerica,MA,0,Deliveright - MA,Central North,36.63
1822,Billerica,MA,0,Deliveright - MA,N/A,40.69
1824,Chelmsford,MA,0,Deliveright - MA,Central North,46.72
1826,Dracut,MA,0,Deliveright - MA,Central North,52.97
1827,Dunstable,MA,0,Deliveright - MA,Central North,51.87
1830,Haverhill,MA,0,Deliveright - MA,North Shore,71.14
1831,Haverhill,MA,0,Deliveright - MA,N/A,67.37
1832,Haverhill,MA,0,Deliveright - MA,North Shore,67.31
1833,Georgetown,MA,0,Deliveright - MA,North Shore,60.61
1834,Groveland,MA,0,Deliveright - MA,North Shore,63.53
1835,Haverhill,MA,0,Deliveright - MA,North Shore,67.83
1840,Lawrence,MA,0,Deliveright - MA,North Shore,62.04
1841,Lawrence,MA,0,Deliveright - MA,North Shore,62.64
1842,Lawrence,MA,0,Deliveright - MA,N/A,60.39
1843,Lawrence,MA,0,Deliveright - MA,North Shore,59.16
1844,Methuen,MA,0,Deliveright - MA,North Shore,60.77
1845,North Andover,MA,0,Deliveright - MA,North Shore,63.03
1850,Lowell,MA,0,Deliveright - MA,Central North,52.07
1851,Lowell,MA,0,Deliveright - MA,Central North,49.5
1852,Lowell,MA,0,Deliveright - MA,Central North,50.87
1853,Lowell,MA,0,Deliveright - MA,N/A,51
1854,Lowell,MA,0,Deliveright - MA,Central North,49.91
1860,Merrimac,MA,0,Deliveright - MA,North Shore,75.83
1862,North Billerica,MA,0,Deliveright - MA,Central North,41.87
1863,North Chelmsford,MA,0,Deliveright - MA,Central North,49.94
1864,North Reading,MA,0,Deliveright - MA,Central North,43.58
1865,Nutting Lake,MA,0,Deliveright - MA,N/A,35.67
1866,Pinehurst,MA,0,Deliveright - MA,N/A,36.02
1867,Reading,MA,0,Deliveright - MA,Central North,41.48
1876,Tewksbury,MA,0,Deliveright - MA,Central North,54.13
1879,Tyngsboro,MA,0,Deliveright - MA,Central North,56.06
1880,Wakefield,MA,0,Deliveright - MA,Central North,40.19
1885,West Boxford,MA,0,Deliveright - MA,N/A,64.4
1886,Westford,MA,0,Deliveright - MA,Central North,44.37
1887,Wilmington,MA,0,Deliveright - MA,Central North,43.15
1888,Woburn,MA,0,Deliveright - MA,N/A,37.08
1889,North Reading,MA,0,Deliveright - MA,N/A,43.33
1890,Winchester,MA,0,Deliveright - MA,Central North,33.28
1899,Andover,MA,0,Deliveright - MA,N/A,47.55
1901,Lynn,MA,0,Deliveright - MA,North Shore,40.71
1902,Lynn,MA,0,Deliveright - MA,North Shore,48.45
1903,Lynn,MA,0,Deliveright - MA,N/A,40.96
1904,Lynn,MA,0,Deliveright - MA,North Shore,46.26
1905,Lynn,MA,0,Deliveright - MA,North Shore,46.52
1906,Saugus,MA,0,Deliveright - MA,North Shore,43.1
1907,Swampscott,MA,0,Deliveright - MA,North Shore,43.48
1908,Nahant,MA,0,Deliveright - MA,North Shore,43.42
1910,Lynn,MA,0,Deliveright - MA,N/A,39.36
1913,Amesbury,MA,0,Deliveright - MA,North Shore,77.77
1915,Beverly,MA,0,Deliveright - MA,North Shore,53.32
1921,Boxford,MA,0,Deliveright - MA,North Shore,57.67
1922,Byfield,MA,0,Deliveright - MA,North Shore,63.45
1923,Danvers,MA,0,Deliveright - MA,North Shore,51.05
1929,Essex,MA,0,Deliveright - MA,North Shore,62.12
1930,Gloucester,MA,0,Deliveright - MA,North Shore,63.94
1931,Gloucester,MA,0,Deliveright - MA,N/A,64.54
1936,Hamilton,MA,0,Deliveright - MA,N/A,55.69
1937,Hathorne,MA,0,Deliveright - MA,North Shore,50.16
1938,Ipswich,MA,0,Deliveright - MA,North Shore,60.73
1940,Lynnfield,MA,0,Deliveright - MA,North Shore,42
1944,Manchester,MA,0,Deliveright - MA,North Shore,57.89
1945,Marblehead,MA,0,Deliveright - MA,North Shore,47.28
1949,Middleton,MA,0,Deliveright - MA,North Shore,46.55
1950,Newburyport,MA,0,Deliveright - MA,North Shore,68.31
1951,Newbury,MA,0,Deliveright - MA,North Shore,69.56
1952,Salisbury,MA,0,Deliveright - MA,North Shore,70.41
1960,Peabody,MA,0,Deliveright - MA,North Shore,47.47
1961,Peabody,MA,0,Deliveright - MA,N/A,47.58
1965,Prides Crossing,MA,0,Deliveright - MA,N/A,57.04
1966,Rockport,MA,0,Deliveright - MA,North Shore,68.91
1969,Rowley,MA,0,Deliveright - MA,North Shore,64.6
1970,Salem,MA,0,Deliveright - MA,North Shore,50.19
1971,Salem,MA,0,Deliveright - MA,N/A,50.19
1982,South Hamilton,MA,0,Deliveright - MA,North Shore,56.4
1983,Topsfield,MA,0,Deliveright - MA,North Shore,53.81
1984,Wenham,MA,0,Deliveright - MA,North Shore,54.24
1985,West Newbury,MA,0,Deliveright - MA,North Shore,67.85
2018,Accord,MA,0,Deliveright - MA,N/A,32.41
2019,Bellingham,MA,0,Deliveright - MA,Metro,10.14
2020,Brant Rock,MA,0,Deliveright - MA,East Shore MA,47.73
2021,Canton,MA,0,Deliveright - MA,Metro,18.22
2025,Cohasset,MA,0,Deliveright - MA,East Shore MA,37.5
2026,Dedham,MA,0,Deliveright - MA,Metro,12.6
2027,Dedham,MA,0,Deliveright - MA,N/A,14.2
2030,Dover,MA,0,Deliveright - MA,Metro,7.68
2031,East Mansfield,MA,0,Deliveright - MA,N/A,N/A
2032,East Walpole,MA,0,Deliveright - MA,Metro,10.45
2035,Foxboro,MA,0,Deliveright - MA,Metro,10.19
2038,Franklin,MA,0,Deliveright - MA,Metro,7.44
2040,Greenbush,MA,0,Deliveright - MA,N/A,39.14
2041,Green Harbor,MA,0,Deliveright - MA,East Shore MA,47
2043,Hingham,MA,0,Deliveright - MA,Metro,33.69
2044,Hingham,MA,0,Deliveright - MA,East Shore MA,34.7
2045,Hull,MA,0,Deliveright - MA,East Shore MA,37.03
2047,Humarock,MA,0,Deliveright - MA,East Shore MA,43.71
2048,Mansfield,MA,0,Deliveright - MA,South Shore MA,24.89
2050,Marshfield,MA,0,Deliveright - MA,East Shore MA,41.96
