"name","id","numeric_code","address","city","state","zipcode","phone"
"RLM - Florida Transfer & Storage","2","38","2940 W 45th St","Jacksonville","FL","32209","4-904-768-9074"
"RLM - At Home Warehouse","3","19","1300 N CAMPBELL RD, Suite D","Royal Oak","MI","48067","4-248-398-5110"
"RLM - Designer Delivery Service","4","72","8221 Preston Ct","Jessup","MD","20794","4-410-824-8340"
"RLM - 1st Class","5","63","1064 1ST NEW HAMPSHIRE, TURNPIKE (ROUTE 4)","Northwood","NH","03261","4-603-942-5100"
"RLM - Justo Delivery South","6","9","1448 S. Santa Fe Ave","Compton","CA","90221","4-310-631-2323"
"RLM - Justo Delivery North","7","8","3300 KELLER STREET","Santa Clara","CA","95054","4-408-496-6109"
"RLM - Guardian","9","28","4226 CLARKE ROAD","Memphis","TN","38141","4-901-386-5400"
"RLM - Moving Solutions Albuquerque","10","86","125 Dale Ave SE","Albuquerque","NM","87105","4-505-877-0704"
"RLM - All American Columbus","11","52","2660 Fisher Rd Suite C","Columbus","OH","43204","4-614-224-0077"
"RLM - Alpha & Omega","12","4","530 Pendleton St","High Point","NY","27260","4-336-882-5500"
"RLM - Esquire Logistics","15","37","8272 NW 21st St","Doral","FL","33122","4-305-836-1882"
"RLM - Hackbarth Delivery - Knox","16","33","3260 North Bend Cir
","ALCOA","TN","37701","404-456-8068"
"RLM -  Student Movers","17","22","16456 E Airport Cir #100","Aurora","CO","80011","4-303-336-9465"
"RLM - Blue Truck","18","53","12 SHACKELFORD RIDGE RD","Little Rock","AR","72204","4-501-223-2583"
"RLM - Deliveright North Florida","19","30","1031 Crews Commerce Drive, Suite 110","Orlando","FL","32837","4-862-279-7332"
"RLM - Advantage Relocation","20","","8760 ELY ROAD","Pensacola","FL","32514","4-850-457-6683"
"RLM - Show Me Home Delivery KC","21","69","1559 N Topping Ave","Kansas City","MO","64120","4-314–896–2005"
"RLM - FOX DELIVERY LLC","22","64","17610 ASHLEY DR, SUITE A","PANAMA CITY BEACH","FL","32413","4-850-588-5503"
"RLM - IDS","23","77","8282 MOBERLY LANE","Dallas","TX","75227","4-909-628-7737"
"RLM - IDS","24","75","3310 Fredrickson Rd.","Wilmington","NC","28401","49096287737"
"RLM - C/O Ids-Sav","25","76","5250 OLD LOUISVILLE RD","Pooler","GA","31322","(888)255-4437"
"RLM - Fallon Moving","26","11111","800 Marshall Phelps Road Building 4","Windsor","CT","06095","4-860-298-7071"
"RLM -  Chapman Hall Furniture Services","27","84","1400 Mengel Rd","Baton Rouge","LA","70807","4-225-281-4138"
"RLM - Delaney Moving & Storage","28","81","7045 INTERSTATE ISLAND RD","Syracuse","NY","13209","4-315-760-3321"
"RLM - Cooper Courier","29","","8865 Airport Rd. Ste. R ","Redding ","CA","96002","4-530-222-1126"
"RLM - Kloke Group","30","26","10 E Belt Blvd","Richmond","VA","23224","4-804-433-3509"
"RLM - WOLF HOME OPERATIONS","31","67","3808 N SULLIVAN RD #17","Spokane ","WA","99216","4-509-926-4109"
"RLM - Gavco","33","85","1085 BIBLE WAY","Reno","NV","89502","4-(775)355-8020"
"RLM - TopHat Milwaukee","34","34","6023 S HOWELL AVENUE ","Milwaukee ","WI","53207","4-414-484-1998"
"RLM - Berger KY","35","31","3410 Robards Court","Louisville","KY","40218","4-502-301-8105"
"RLM - On The Go","36","35","1447 Green Leaf Rd N.","Charleston","SC","29405","4-843-744-8002"
"RLM - All American Solon","37","48","29001 Solon Rd","Solon ","OH","44139","(201)605-6655"
"RLM - Eagle Transfer & Storage","38","73","2619 Sundance Rd","Nampa","ID","83686","4-208-461-8668"
"RLM -  In & Out Moving","40","43","126 ARTVILLE AVE","Hudson","NC","28638","4-828-726-3052"
"RLM - MURANO","41","65","1510 HYLAN BLVD","STATEN ISLAND","NY","10305","4-718-668-9570"
"RLM -  Ace Commercial Logistics","42","40","1700S EASTERN AVENUE","Oklahoma City","OK","73129","4-405-215-9471"
"RLM - Deliveright Dallas","43","61","12591 Perimeter Drive","Dallas","TX","75228","4-862-279-7332"
"RLM - Deliveright NJ","44","83","20 PULASKI STREET","Bayonne","NJ","07002","4-862-279-7332"
"RLM - Deliveright South","45","82","3033 Adriatic Court NW, Suite A
","Norcross","GA","30071","4-862-279-7332"
"RLM - Deliveright NC","46","58","176 Lfi Complex Lane","Lexington ","NC","27292","4-862-279-7332"
"RLM - Clarks White Glove","47","80","8220 ALLISON AVENUE","Indianapolis","IN","46268","4-317-876-0801"
"RLM - Interstate Express Phoenix","48","32","1755 S 75th Ave, Suite 150","Phoenix","AZ","85043","4-602-278-8574"
"RLM - Redman Moving SLC","49","16","2571 W 2590 SOUTH","Salt Lake City","UT","84119","4-801-972-4420"
"RLM - Am Trucking","50","11","99 JERSEY AVENUE","NEW BRUNSWICK","NJ","08901","4-347-424-7280 "
"RLM - CBC","51","51","5111 NE 158TH AVENUE","Portland","OR","97230","4-503)256-1065 "
"RLM - Show Me Home Delivery St Louis","52","47","2001 Innerbelt Business Center Drive, West Dock","Overland ","MO","63114","4-314-567-6060"
"RLM -  Hawkeye Moving Services","53","78","2820 S Riverside Dr,","Iowa City","IA","52246","4-319-688-5440"
"RLM - Berger","54","54","600 E CHEYENNE AVENUE","North Las Vegas","NV","89030","4-702-399-9913"
"RLM - Ridol","55","14","6801 W 66TH PLACE","Chicago","IL","60638","4-708-496-9192"
"RLM - G & G Delivery Service","56","50","8106 KRAUSS BLVD #A104","Tampa","FL","33619","4-813-839-6111"
"RLM - Deliveright Ohio","57","59","26820 Fargo Avenue, Suite K-1","Bedford Heights","OH","44146","4-862-279-7332"
"RLM - Overnight Office Inc","58","57","800 PAXTON ST.","Harrisburg","PA","17104","4-717-702-4803"
"RLM - CBC","59","27","18506 80TH PLACE S","Kent","WA","98032","4-425-728-1880"
"RLM - EDC Moving Systems","60","20","4810 EISENHAUER ROAD,SUITE 140","San Antonio","TX","78218","4-210-227-3491"
