"wg_id","name","surcharge","zipcode","carrier_type","distance","operation"
"38","RLM - Eagle Transfer","0","83301","1","146.3","add"
"38","RLM - Eagle Transfer","125","83302","1","201.2","add"
"38","RLM - Eagle Transfer","99","83303","1","179.3","add"
"38","RLM - Eagle Transfer","99","83311","1","195.4","add"
"38","RLM - Eagle Transfer","125","83312","1","221.3","add"
"38","RLM - Eagle Transfer","0","83313","1","147.6","add"
"38","RLM - Eagle Transfer","0","83314","1","104","add"
"38","RLM - Eagle Transfer","0","83316","1","132.2","add"
"38","RLM - Eagle Transfer","99","83318","1","177.8","add"
"38","RLM - Eagle Transfer","99","83320","1","177.2","add"
"38","RLM - Eagle Transfer","99","83321","1","157.3","add"
"38","RLM - Eagle Transfer","0","83322","1","111.4","add"
"38","RLM - Eagle Transfer","99","83323","1","193.3","add"
"38","RLM - Eagle Transfer","0","83324","1","143.1","add"
"38","RLM - Eagle Transfer","0","83325","1","150.1","add"
"38","RLM - Eagle Transfer","0","83327","1","119.5","add"
"38","RLM - Eagle Transfer","0","83328","1","142.7","add"
"38","RLM - Eagle Transfer","0","83330","1","118.3","add"
"38","RLM - Eagle Transfer","0","83332","1","115.6","add"
"38","RLM - Eagle Transfer","99","83333","1","157.9","add"
"38","RLM - Eagle Transfer","99","83334","1","154.8","add"
"38","RLM - Eagle Transfer","99","83335","1","160.4","add"
"38","RLM - Eagle Transfer","99","83336","1","173","add"
"38","RLM - Eagle Transfer","0","83337","1","104.4","add"
"38","RLM - Eagle Transfer","0","83338","1","135.3","add"
"38","RLM - Eagle Transfer","99","83340","1","184.4","add"
"38","RLM - Eagle Transfer","99","83341","1","152.5","add"
"38","RLM - Eagle Transfer","125","83342","1","213.7","add"
"38","RLM - Eagle Transfer","99","83343","1","183.9","add"
"38","RLM - Eagle Transfer","99","83344","1","165.2","add"
"38","RLM - Eagle Transfer","99","83346","1","195.5","add"
"38","RLM - Eagle Transfer","99","83347","1","178.7","add"
"38","RLM - Eagle Transfer","99","83348","1","154.2","add"
"38","RLM - Eagle Transfer","99","83349","1","151","add"
"38","RLM - Eagle Transfer","99","83350","1","186.3","add"
"38","RLM - Eagle Transfer","0","83352","1","140.2","add"
"38","RLM - Eagle Transfer","99","83353","1","180.1","add"
"38","RLM - Eagle Transfer","99","83354","1","171","add"
"38","RLM - Eagle Transfer","0","83355","1","122.1","add"
"38","RLM - Eagle Transfer","0","83601","1","115.1","add"
"38","RLM - Eagle Transfer","0","83602","1","52.2","add"
"38","RLM - Eagle Transfer","0","83604","1","86.1","add"
"38","RLM - Eagle Transfer","0","83605","1","8.7","add"
"38","RLM - Eagle Transfer","0","83606","1","15.4","add"
"38","RLM - Eagle Transfer","0","83607","1","14.1","add"
"38","RLM - Eagle Transfer","0","83610","1","95.5","add"
"38","RLM - Eagle Transfer","0","83611","1","87.5","add"
"38","RLM - Eagle Transfer","0","83612","1","118.8","add"
"38","RLM - Eagle Transfer","0","83615","1","103.5","add"
"38","RLM - Eagle Transfer","0","83616","1","19.8","add"
"38","RLM - Eagle Transfer","0","83617","1","28.9","add"
"38","RLM - Eagle Transfer","0","83619","1","36.8","add"
"38","RLM - Eagle Transfer","0","83622","1","64.8","add"
"38","RLM - Eagle Transfer","0","83623","1","84.3","add"
"38","RLM - Eagle Transfer","0","83624","1","61.4","add"
"38","RLM - Eagle Transfer","0","83626","1","17.9","add"
"38","RLM - Eagle Transfer","0","83627","1","79.7","add"
"38","RLM - Eagle Transfer","0","83628","1","28.5","add"
"38","RLM - Eagle Transfer","0","83629","1","40.4","add"
"38","RLM - Eagle Transfer","0","83630","1","18.2","add"
"38","RLM - Eagle Transfer","0","83631","1","58.2","add"
"38","RLM - Eagle Transfer","0","83632","1","100.7","add"
"38","RLM - Eagle Transfer","0","83633","1","92.7","add"
"38","RLM - Eagle Transfer","0","83634","1","18.3","add"
"38","RLM - Eagle Transfer","0","83635","1","112.6","add"
"38","RLM - Eagle Transfer","0","83636","1","32.7","add"
"38","RLM - Eagle Transfer","0","83637","1","97.8","add"
"38","RLM - Eagle Transfer","0","83638","1","116","add"
"38","RLM - Eagle Transfer","0","83639","1","20.8","add"
"38","RLM - Eagle Transfer","0","83641","1","15.6","add"
"38","RLM - Eagle Transfer","0","83642","1","11.3","add"
"38","RLM - Eagle Transfer","0","83643","1","96","add"
"38","RLM - Eagle Transfer","0","83644","1","18.7","add"
"38","RLM - Eagle Transfer","0","83645","1","84","add"
"38","RLM - Eagle Transfer","0","83646","1","10.7","add"
"38","RLM - Eagle Transfer","0","83647","1","66.6","add"
"38","RLM - Eagle Transfer","0","83648","1","69.8","add"
"38","RLM - Eagle Transfer","0","83650","1","36.3","add"
"38","RLM - Eagle Transfer","0","83651","1","2.4","add"
"38","RLM - Eagle Transfer","0","83652","1","1.6","add"
"38","RLM - Eagle Transfer","0","83653","1","1.6","add"
"38","RLM - Eagle Transfer","0","83654","1","142.3","add"
"38","RLM - Eagle Transfer","0","83655","1","32.2","add"
"38","RLM - Eagle Transfer","0","83656","1","17.4","add"
"38","RLM - Eagle Transfer","0","83657","1","77.8","add"
"38","RLM - Eagle Transfer","0","83660","1","26.1","add"
"38","RLM - Eagle Transfer","0","83661","1","43.6","add"
"38","RLM - Eagle Transfer","0","83666","1","60.1","add"
"38","RLM - Eagle Transfer","0","83669","1","11","add"
"38","RLM - Eagle Transfer","0","83670","1","45.7","add"
"38","RLM - Eagle Transfer","99","83671","1","163.6","add"
"38","RLM - Eagle Transfer","0","83672","1","60.7","add"
"38","RLM - Eagle Transfer","0","83676","1","23.9","add"
"38","RLM - Eagle Transfer","99","83677","1","171.8","add"
"38","RLM - Eagle Transfer","0","83680","1","11","add"
"38","RLM - Eagle Transfer","0","83686","1","4.5","add"
"38","RLM - Eagle Transfer","0","83687","1","1.8","add"
"38","RLM - Eagle Transfer","0","83701","1","18.9","add"
"38","RLM - Eagle Transfer","0","83702","1","19.6","add"
"38","RLM - Eagle Transfer","0","83703","1","22.7","add"
"38","RLM - Eagle Transfer","0","83704","1","18.2","add"
"38","RLM - Eagle Transfer","0","83705","1","19.6","add"
"38","RLM - Eagle Transfer","0","83706","1","21.1","add"
"38","RLM - Eagle Transfer","0","83707","1","18.9","add"
"38","RLM - Eagle Transfer","0","83708","1","19.4","add"
"38","RLM - Eagle Transfer","0","83709","1","19.9","add"
"38","RLM - Eagle Transfer","0","83711","1","18.9","add"
"38","RLM - Eagle Transfer","0","83712","1","22","add"
"38","RLM - Eagle Transfer","0","83713","1","15.4","add"
"38","RLM - Eagle Transfer","0","83714","1","18.8","add"
"38","RLM - Eagle Transfer","0","83715","1","19","add"
"38","RLM - Eagle Transfer","0","83716","1","36.5","add"
"38","RLM - Eagle Transfer","0","83717","1","23.2","add"
"38","RLM - Eagle Transfer","0","83719","1","21.2","add"
"38","RLM - Eagle Transfer","0","83720","1","18.9","add"
"38","RLM - Eagle Transfer","0","83722","1","19.4","add"
"38","RLM - Eagle Transfer","0","83724","1","19.4","add"
"38","RLM - Eagle Transfer","0","83725","1","19.9","add"
"38","RLM - Eagle Transfer","0","83726","1","35.3","add"
"38","RLM - Eagle Transfer","0","83728","1","19.4","add"
"38","RLM - Eagle Transfer","0","83729","1","19.4","add"
"38","RLM - Eagle Transfer","0","83731","1","30.4","add"
"38","RLM - Eagle Transfer","0","83732","1","21.2","add"
"38","RLM - Eagle Transfer","0","83735","1","19.4","add"
"38","RLM - Eagle Transfer","0","83756","1","19.4","add"
"38","RLM - Eagle Transfer","0","83799","1","19","add"
"38","RLM - Eagle Transfer","0","97901","1","35.5","add"
"38","RLM - Eagle Transfer","0","97902","1","92.8","add"
"38","RLM - Eagle Transfer","0","97903","1","90.1","add"
"38","RLM - Eagle Transfer","0","97904","1","140.8","add"
"38","RLM - Eagle Transfer","0","97905","1","89.7","add"
"38","RLM - Eagle Transfer","0","97906","1","76.5","add"
"38","RLM - Eagle Transfer","0","97907","1","72.2","add"
"38","RLM - Eagle Transfer","0","97908","1","101.7","add"
"38","RLM - Eagle Transfer","0","97909","1","76.1","add"
"38","RLM - Eagle Transfer","0","97910","1","87.8","add"
"38","RLM - Eagle Transfer","0","97911","1","113.2","add"
"38","RLM - Eagle Transfer","0","97913","1","41.2","add"
"38","RLM - Eagle Transfer","0","97914","1","41.9","add"
"38","RLM - Eagle Transfer","0","97917","1","120.6","add"
"38","RLM - Eagle Transfer","0","97918","1","64.9","add"
"38","RLM - Eagle Transfer","0","97920","1","94.1","add"
"60","RLM - EDC Moving Systems","0","73301","1","70.2","add"
"60","RLM - EDC Moving Systems","0","73344","1","70.4","add"
"60","RLM - EDC Moving Systems","0","78001","1","115.3","add"
"60","RLM - EDC Moving Systems","0","78002","1","35.2","add"
"60","RLM - EDC Moving Systems","0","78003","1","54.2","add"
"60","RLM - EDC Moving Systems","0","78004","1","43.3","add"
"60","RLM - EDC Moving Systems","0","78005","1","61.5","add"
"60","RLM - EDC Moving Systems","0","78006","1","41.3","add"
"60","RLM - EDC Moving Systems","0","78007","1","90.8","add"
